658,GDL-B,0
659,GDV-A,0
660,GDV-D,0
661,GDV-G,0
662,GEF.B,0
663,GGN-B,0
664,GGO.C,0
665,GGP-A,0
666,GGT-B,0
667,GGZ-A,0
668,GLOG-A,0
669,GLU-A,0
670,GM+B,0
671,GNE-A,0
672,GPE-A,0
673,GPT-A,0
674,GRX-A,0
675,GRX-B,0
676,GS-A,0
677,GS-B,0
678,GS-C,0
679,GS-D,0
680,GS-I,0
681,GS-J,0
682,GS-K,0
683,GS-N,0
684,GSL-B,0
685,GST-A,0
686,GST-B,0
687,GTN.A,0
688,GUT-A,0
689,GUT-C,0
690,GXP-B,0
691,HBM+,0
692,HCN-I,0
693,HCN-J,0
694,HCP#,0
695,HE-U,0
696,HEI.A,0
697,HES-A,0
698,HIG+,0
699,HK+,0
700,HL-B,0
701,HLM-,0
702,HLS+,0
703,HSBC-A,0
704,HT-C,0
705,HT-D,0
706,HVT.A,0
707,IMUC+,0
708,INN-A*,0
709,INN-B,0
710,INN-C,0
711,INN-D,0
712,IPL-D,0
713,IRET-,0
714,IRET-B,0
715,IVR-A,0
716,IVR-B,0
717,JCI#,0
718,JPM-A,0
719,JPM-B,0
720,JPM-D,0
721,JPM-E,0
722,JPM-F,0
723,JPM-G,0
724,JPM-H,0
725,JPM+,0
726,JW.A,0
727,JW.B,0
728,KEY-G,0
729,KEY-H,0
730,KFN-,0
731,KIM-I,0
732,KIM-J,0
733,KIM-K,0
734,KKR-A,0
735,KKR-B,0
736,KMI-A,0
737,KMI+,0
738,KODK+A,0
739,KODK+,0
740,KRC-G,0
741,KRC-H,0
742,KSU-,0
743,KYN-F,0
744,LEN.B,0
745,LHO-H,0
746,LHO-I,0
747,LHO-J,0
748,LNC+,0
749,LTS-A,0
750,LXP-C,0
751,MER-K,0
752,MER-P,0
753,MET-A,0
754,MFA-B,0
755,MH-A,0
756,MH-C,0
757,MHO-A,0
758,MITT-A,0
759,MITT-B,0
760,MKC.V,0
761,MNR-B,0
762,MNR-C,0
763,MOG.A,0
764,MOG.B,0
765,MP-D,0
766,MS-A,0
767,MS-E,0
768,MS-F,0
769,MS-G,0
770,MS-I,0
771,MTB-,0
772,MTB-C,0
773,MTB+,0
774,MTL-,0
775,NAV-D,0
776,NCT-B,0
777,NCT-C,0
778,NCT-D,0
779,NEE-C,0
780,NEE-G,0
781,NEE-H,0
782,NEE-I,0
783,NEE-J,0
784,NEE-K,0
785,NEE-Q,0
786,NEE-R,0
787,NGLS-A,0
788,NLY-A,0
789,NLY-C,0
790,NLY-D,0
791,NLY-E,0
792,NM-G,0
793,NM-H,0
794,NMK-B,0
795,NMK-C,0
796,NNN-D,0
797,NNN-E,0
798,NNN-F,0
799,NRF-A,0
800,NRF-B,0
801,NRF-C,0
802,NRF-D,0
803,NRF-E,0
804,NSPR+,0
805,NW-C,0
806,NYCB-U,0
807,NYLD.A,0
808,O-F,0
809,OAKS-A,0
810,OFC-L,0
811,OFG-A,0
812,OFG-B,0
813,OFG-D,0
814,OIBR.C,0
815,PBI-B,0
816,PBR.A,0
817,PCG-A,0
818,PCG-B,0
819,PCG-C,0
820,PCG-D,0
821,PCG-E,0
822,PCG-G,0
823,PCG-H,0
824,PCG-I,0
825,PEB-C,0
826,PEB-D,0
827,PEI-A,0
828,PEI-B,0
829,PL-C,0
830,PL-E,0
831,PNC-P,0
832,PNC-Q,0
833,PNC+,0
834,PPS-A,0
835,PRE-D*,0
836,PRE-E*,0
837,PRE-F,0
838,PRE-G,0
839,PRE-H,0
840,PRE-I,0
841,PSA-A,0
842,PSA-B,0
843,PSA-C,0
844,PSA-D,0
845,PSA-E,0
846,PSA-S,0
847,PSA-T,0
848,PSA-U,0
849,PSA-V,0
850,PSA-W,0
851,PSA-X,0
852,PSA-Y,0
853,PSA-Z,0
854,PSB-S,0
855,PSB-T,0
856,PSB-U,0
857,PSB-V,0
858,PSB-W,0
859,PUK-,0
860,PUK-A,0
861,PW-A,0
862,QCP#,0
863,RAS-A,0
864,RAS-B,0
865,RAS-C,0
866,RBS-F,0
867,RBS-H,0
868,RBS-L,0
869,RBS-S,0
870,RDS.A,0
871,RDS.B,0
872,REG-F,0
873,REG-G,0
874,REXR-A,0
875,RF-A,0
876,RF-B,0
877,RLGT-A,0
878,RNR-C,0
879,RNR-E,0
880,RPAI-A,0
881,RPT-D,0
882,RSO-A,0
883,RSO-B,0
884,RSO-C,0
885,RY-S,0
886,RY-T,0
887,RYAM-A,0
888,SAN-A,0
889,SAN-B,0
890,SAN-C,0
891,SAN-I,0
892,SB-B,0
893,SB-C,0
894,SB-D,0
895,SCE-B,0
896,SCE-C,0
897,SCE-D,0
898,SCE-E,0
899,SCE-F,0
900,SCE-G,0
901,SCE-H,0
902,SCE-J,0
903,SCE-K,0
904,SCHW-B,0
905,SCHW-C,0
906,SCHW-D,0
907,SF-A,0
908,SHO-E,0
909,SHO-F,0
910,SLG-I,0
911,SNV-C,0
912,SOV-C,0
913,SPE-B,0
914,SPG-J,0
915,SSW-D,0
916,SSW-E,0
917,SSW-G,0
918,SSW-H,0
919,STAG-A*,0
920,STAG-B,0
921,STAG-C,0
922,STAR-D,0
923,STAR-E,0
924,STAR-F,0
925,STAR-G,0
926,STAR-I,0
927,STI-A,0
928,STI-E,0
929,STI+A,0
930,STI+B,0
931,STT-C,0
